"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","67","72","6","30.362518","0","80"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","81","33","2","32.147709","0","198"
"/OpenXR/Devices/M_XRController.M_XRController","0","9","9","3","4.132002","0","9"
"Globals","0","2631","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","13","6","1","5.708675","0","58"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","4","1","2.821838","0","21"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","1","1","2.193886","0","26"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","1","1","3.537575","0","54"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","1","1","3.509185","0","42"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.832811","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","3","3","1","1.302996","0","3"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","6","1","1","2.138982","0","16"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","0.754264","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","3.525643","0","12"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","3.520607","0","7"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","42","6","1","23.936481","0","230"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","42","10","1","26.125082","0","183"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","571","17","1","161.189423","0","21079"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","40","20","1","11.892820","0","180"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","30","8","1","11.006851","0","101"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","0.836561","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","2.771089","0","10"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","2.832594","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","2.182658","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","2.755039","0","8"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","0.795289","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","1.156214","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","2.978611","0","8"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","24","10","1","7.717793","0","77"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","36","2","1","87.212379","0","172"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","1.540359","0","6"
